label,message
0,*IMPORTANT* NetBank Security requires you to authorise your device immediately or your account will be locked. You can do so here: https://commbank.com.au.serveo.net.id/MDQwMzI4OTkiMg==
0,"Win a ÃÂ¥ÃÂ£1000 cash prize or a prize worth ÃÂ¥ÃÂ£5000,,,"
0,"UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofÃÂ¥ÃÂ£2000 CASH 18+only. To opt out txt X to 07786200117,,,"
0,"Sequel to the receipt of your Resume, the Board of LS-RESOURCE requests your presence to be interviewed based on your qualification.TIME: 10.00Hours in the Morning.OFFICE ADDRESS: 3RD FLR, CROWNET PLAZA, IDRIS GIGADO STR, WUYE, ABUJA.REQUIREMENTS;-Hard copy/Print-out of this Email Notification.-Hard copy of your Resume/Curriculum Vitae.-Two (2) Passport Photographs.Dress Corporately and be sure to come early as lateness will NOT be entertained.OPTIONAL-A regulatory I.D Card i.e. Driver's License, National I.D card, Voter's Card, INT'L Passport.Best of Luck, HR DEPT, LAGOS."
0,"WIN a ÃÂ¥ÃÂ£200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 ÃÂ¥ÃÂ£1.50perweeksub.,,,"
0,"V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-),,,"
0,"4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,,,"
0,"Based on your application and after due consideration, please note that you are scheduled for interview on Monday 19th March, 2018. Venue of interview is MHS office, 6th floor, 65C Opebi Road, opposite glass house by Salvation Bus Stop, Opebi - Lagos.Time is 9.00am Prompt.Do present a hard copy of your CV and a passport photograph and please ensure to be punctual.Need help/direction? Call Admin:0803-449-6175/6207"
0,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or ÃÂ¥ÃÂ£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.,,,"
0,"FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free,,,"
0,"Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed ÃÂ¥ÃÂ£1000 cash or ÃÂ¥ÃÂ£5000 prize!,,,"
0,"Urgent! Please call 09061213237 from landline. ÃÂ¥ÃÂ£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+,,,"
0,"Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,,,"
0,"i can call in  &lt;#&gt;  min if thats ok,,,"
0,"Dear Customer:CBN Has block your ATM Debit CARD/ACCOUNT due to INCOMPLETE BVN registration, kindly call our help line on 08*9 for reactivation thanks"
0,"Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,,,"
0,"You are invited for an interview on Tuesday, 26th June, 2018 by 3pm at Food House, 67, Ikosi Road, Ketu (opposite Mr Biggs). Anyone attended this before?"
0,"8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,,,"
0,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost ÃÂ¥ÃÂ£1.50. 2 cancel send STOP,,,"
0,"DEAR CUSTOMER, DUE TO TO THE BVN SYSTEM VALIDATION IN COMPLIANCE WITH CBN BANK, YOUR ATM CARD HAS BEEN BLOCKED CALL CUSTOMER CARE ON 09066336818 NOW"
0,"U can WIN ÃÂ¥ÃÂ£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription,,,"
0,& ACCT**** has been BLOCKED due to BVN system error call our helplaine>>08135071572 to reopen it within 24hours!!
0,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+,,,"
0,"SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,,,"
0,"Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,,,"
