Text,v3
"Dear Customer,
This is a confirmation that the password for your onlineAccess account has just been changed, If you didn't request or make this password change, Kindly copy this link bellow and PASTE on your browser  http://x.co/Accesbank for security purpose. 
If you made this password cha

nge kindly copy this link bellow and PASTE on your browser to review your account informations  http://x.co/Accesbank 
Thank you for banking with us.Terms & Conditions Do Not Call Registry  Disclaimer | Multilingual Disclaimer | Code of Commitment |
 Group Code of Business Conduct and Ethics | Use of Unparliamentary Language by Customers | Privacy | USA Patriot Act Certification",spam
"Hello ADEYINKA, present your CV for interview on the MD’s desk on FRIDAY 13/04/2018 at MADE HILLS SOLUTION.
Time: 9am.
Address: 65c Opebi road, opposite glass house by Salvation b/stop, Opebi, Ikeja, Lagos.
Need help/directions?
Call Admin: 0803-449-6175/6202
",spam
"Edgerit Limited invites you for an interview for the position of Medical Sales Representative on Monday, January 8, 2018. Time: 1pm Venue: WaterCress Hotel, 48, Oritshe Street, Off Balogun Street, Off Awolowo way, Ikeja, Lagos. Kindly acknowledge the receipt of this message.",spam
"You are invited for an aptitude test with UBA Plc, at UBA House 57 Marina.

Date: 12/04/18
Time: 2:00PM

Please come with all your original credentials.",spam
"Mag consult ltd, shortlisted (you/candidate no 00152144) for an interview on Monday 16th April 2018 by 10am, at plot 5, ole close off billing way, Oregun alausa ikeja..,. ",spam
"This is your interview invite with MAG CONSULT (RC11159) on wed 07/03/18 by 8am at 5, oke close off olayiwola street, police post, oregun ikeja.",spam
Dps invites u for an interview chat to work with us on Fri 02/03/2018 by 9am@daura rd by magajin gari opp yabi plaza kad Dps/ygo/115,spam
"Dear Candidate, In response to your application for the role of PROFESSIONAL SALES STAFF. You have been invited for an interview at FOSAD CONSULTING LIMITED. Details below: Date: Monday 9th of April , 2018 Time: 3:00pm prompt. Venue: No 8, office apartment , Alaba Williams ,off Admiralty way, Lekki Phase 1. Kind regards, Olalekan Adeyanju Recruitment Associate/HSE Officer cid:image00...",spam
"You have been scheduled for an interview session with ATB TECHSOFT SOLUTIONS LIMITED as detailed below: Date: Monday, 23rd of April 2018. Time: 10:00 a.m. Address: 8,Jubilee/CMD Road, Magodo, Lagos. Role: Graphics Designer and Web Administrator Please, come along with your CV, credentials and a passport photograph. Kindly acknowledge receipt of this mail and confirm availability",spam
HR APPROVED! You are invited for an Interview with Board of Directors Tomorow Sat 30/3/19 by 9am at 32 Olufemi Rd by Lawanson B/Stop SuruLere Lagos. Ref:PTL/MT,spam
"Dear Applicant,
After a background check of your CV, you are hereby invited for an interview at one of our selected centers in Lagos on FRIDAY 15th of March 2019.
Venue: Number 6, Remilekun Street, off Ogunlana Drive, Surulere Lagos.
Time: 9am
Kindly come with a printed copy of this invitation, a pen and a print out of your CV as you will not be allowed in without it.
Note that the invitation is a response to the Application/CV you submitted which we are handling on behalf of our client and you can recourse to us if you did not apply for such position for us to manage your record properly.
Best Regards,
Recruitment Team
MATRIXGLOVER INTERNATIONAL
NOTE: You will meet with the Deputy Managing Director, Head Human Resources of our client after this oral assessment for proper evaluation.
",spam
"Dear Candidate,
We are impressed by your background, you have been recommended for a JOB BRIEFING which has been scheduled for Tuesday, 5th March  2019, the interview will start at exactly 9:00am
VENUE: 3RD FLOOR, CROWNET PLAZA, IDRIS GIDADO STREET, WUYE, ABUJA.
We look forward to meeting you.
For proper documentation and easy access print out this mail.
Two(2) passport photograph
Writing materials
If there is any query please feel free to write to us.
REGARDS
REF NO: LSR/513/FCT",spam
